,pdb,beta,nsus,run,auc_,auc_01_,execution_time,count_seq_scpe,count_seq_cluster,seq_lenght,execution_time_optimization_total,contacts_count,spearman_zmip_evol_nat,par_positions_count,auc_nat,auc_nat_01,auc,auc_01,analysis,auc_di,auc01_di,auc_frob,auc01_frob,auc_di_,auc01_di_,auc_frob_,auc01_frob_
51,2TRX,0.01,10.0,10000,0.555688065585,0.511274857197,341.554751158,90141.0,24310.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.799951031968,0.635795599557,0.789773622112,0.60462180523
52,2TRX,0.01,10.0,20000,0.624177302352,0.534295401907,932.584323883,179721.0,48429.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.816126363991,0.667994686683,0.800677611684,0.62227572889
53,2TRX,0.01,15.0,1000,0.503567235542,0.506841413062,45.0386970043,8961.0,2422.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.666464177238,0.551834543861,0.649402126801,0.549157456342
54,2TRX,0.01,15.0,5000,0.533517686156,0.491490430171,153.393987894,44801.0,12054.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.755834805683,0.61672631065,0.747960216783,0.583126536441
55,2TRX,0.01,15.0,10000,0.534155700876,0.519132743655,353.244145155,89951.0,24261.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.78474976674,0.651793275382,0.776807681364,0.613962974182
56,2TRX,0.01,15.0,20000,0.590794045983,0.541743553364,977.032121897,179261.0,48377.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.839359709897,0.720133472477,0.812746246336,0.636190364974
57,2TRX,0.1,1.0,1000,0.659552985142,0.536776027475,31.3095369339,2601.0,1001.0,108.0,23759.0582342,,,,,,,,okey_complete2,,,,,0.482918097658,0.493059723565,0.48300875469,0.494765713351
58,2TRX,0.1,1.0,5000,0.640496825519,0.547319746441,61.3275921345,12711.0,5001.0,108.0,23759.0582343,,,,,,,,okey_complete2,,,,,0.497001038916,0.498099995762,0.51446475956,0.492967398971
59,2TRX,0.1,1.0,10000,0.622813619634,0.542231595623,121.424467087,25591.0,9999.0,108.0,23759.0582344,,,,,,,,okey_complete2,,,,,0.499687663365,0.50228375641,0.502450386781,0.499691226413
60,2TRX,0.1,1.0,20000,0.670802103342,0.560303516618,321.102129936,49751.0,19992.0,108.0,23759.0582345,,,,,,,,okey_complete2,,,,,0.52623363045,0.521053914989,0.524137269304,0.508892654436
61,2TRX,0.1,2.0,1000,0.612764677078,0.531719931414,35.9977090359,8501.0,2147.0,108.0,23759.0582346,,,,,,,,okey_complete2,,,,,0.546385960733,0.505349997862,0.555172413793,0.511050359959
62,2TRX,0.1,2.0,5000,0.614406490388,0.530132989219,112.142432928,41581.0,10579.0,108.0,23759.0582347,,,,,,,,okey_complete2,,,,,0.627161376134,0.528658919107,0.68317286377,0.541668364236
63,2TRX,0.1,2.0,10000,0.625289824719,0.542184193079,303.891237974,83391.0,21214.0,108.0,23759.0582348,,,,,,,,okey_complete2,,,,,0.62511530648,0.548969181971,0.687036044442,0.564494799608
8,2TRX,0.1,2.0,20000,0.626047519876,0.567556841547,768.871743917,166681.0,42377.0,108.0,23759.0582349,,,,,,,,okey_complete2,,,,,0.778668466573,0.642821122564,0.744189678333,0.581003658386
9,2TRX,0.1,3.0,1000,0.600232786877,0.512313757041,40.9254488945,10351.0,2723.0,108.0,23759.058235,,,,,,,,okey_complete2,,,,,0.561398632865,0.525029575119,0.563348089916,0.53640372551
10,2TRX,0.1,3.0,5000,0.601911684266,0.538220034652,172.718286037,51961.0,13647.0,108.0,23759.0582351,,,,,,,,okey_complete2,,,,,0.742956213315,0.581973688781,0.705412290976,0.562099182497
11,2TRX,0.1,3.0,10000,0.58361659108,0.534359201067,361.715668917,103571.0,27172.0,108.0,23759.0582352,,,,,,,,okey_complete2,,,,,0.801917694003,0.634693284639,0.767138480271,0.605771132455
12,2TRX,0.1,3.0,20000,0.57271302907,0.537792916744,1185.059196,208061.0,54691.0,108.0,23759.0582353,,,,,,,,okey_complete2,,,,,0.830896181155,0.678875732306,0.791405448686,0.615524668702
13,2TRX,0.1,5.0,1000,0.625104404324,0.534607037126,50.3365089893,10401.0,2768.0,108.0,23759.0582354,,,,,,,,okey_complete2,,,,,0.610336225094,0.535706542353,0.625573223751,0.54571660479
14,2TRX,0.1,5.0,5000,0.590955867418,0.517315511823,178.750222921,52521.0,13844.0,108.0,23759.0582355,,,,,,,,okey_complete2,,,,,0.786008377504,0.632173988277,0.745757978811,0.601882102226
