,pdb,beta,nsus,run,auc,auc_01,execution_time,count_seq_scpe,count_seq_cluster,seq_lenght,execution_time_optimization_total
19,2TRX,0.001,7.0,10000,0.50272188710763566,0.51024491365017133,319.17624497413635,87661.0,23680.0,108.0,18151.1987522
20,2TRX,0.001,7.0,20000,0.4821958494487536,0.49615547669560278,896.1166958808899,176321.0,47673.0,108.0,18151.1987522
21,2TRX,0.001,10.0,1000,0.50005351906838058,0.50387943027314064,43.85041904449463,8721.0,2366.0,108.0,18151.1987522
22,2TRX,0.001,10.0,5000,0.4940374700904262,0.49363214648666431,144.53783297538757,43931.0,11833.0,108.0,18151.1987522
23,2TRX,0.001,10.0,10000,0.51096635209815822,0.50615103897712455,332.47346782684326,87901.0,23735.0,108.0,18151.1987522
24,2TRX,0.001,10.0,20000,0.52807054066058545,0.50002664338459879,908.0165801048279,175831.0,47454.0,108.0,18151.1987522
25,2TRX,0.001,15.0,1000,0.52621970799659168,0.50863853904042611,45.133667945861816,8831.0,2403.0,108.0,18151.1987522
26,2TRX,0.001,15.0,5000,0.4900669451905742,0.49356300627182687,151.04797101020813,44021.0,11912.0,108.0,18151.1987522
27,2TRX,0.001,15.0,10000,0.47957552214804466,0.51142240388761206,346.1768579483032,88001.0,23750.0,108.0,18151.1987522
28,2TRX,0.001,15.0,20000,0.50561528808008138,0.5024489343271149,918.2978150844574,175581.0,47375.0,108.0,18151.1987522
29,2TRX,0.01,1.0,1000,0.53935674293906499,0.50123791985587696,32.06640696525574,3841.0,1027.0,108.0,18151.1987522
30,2TRX,0.01,1.0,5000,0.53021214621578039,0.50568362228184471,67.73242402076721,19321.0,5117.0,108.0,18151.1987522
31,2TRX,0.01,1.0,10000,0.47449921744165369,0.49168876182376503,132.21182584762573,38541.0,10224.0,108.0,18151.1987522
32,2TRX,0.01,1.0,20000,0.49744414842734008,0.49992199888540279,323.18105483055115,77651.0,20569.0,108.0,18151.1987522
33,2TRX,0.01,2.0,1000,0.49354104912544788,0.49957813559225983,41.725658893585205,8901.0,2404.0,108.0,18151.1987522
34,2TRX,0.01,2.0,5000,0.48707156300121446,0.50109449984305687,136.09153485298157,44331.0,12034.0,108.0,18151.1987522
35,2TRX,0.01,2.0,10000,0.5382029223939796,0.50502028391405396,317.2948670387268,88721.0,24057.0,108.0,18151.1987522
36,2TRX,0.01,2.0,20000,0.58606498310567368,0.54617886760315515,877.2723200321198,177431.0,48062.0,108.0,18151.1987522
37,2TRX,0.01,3.0,1000,0.53594163640240611,0.5001535348149545,41.256112813949585,8881.0,2401.0,108.0,18151.1987522
38,2TRX,0.01,3.0,5000,0.46982493786309742,0.50495443235829485,136.83440017700195,44901.0,12128.0,108.0,18151.1987522
39,2TRX,0.01,3.0,10000,0.54550258619309167,0.51742782643846097,318.07059597969055,89531.0,24117.0,108.0,18151.1987522
40,2TRX,0.01,3.0,20000,0.5683918910604614,0.52959357640299465,892.6819198131561,179831.0,48419.0,108.0,18151.1987522
41,2TRX,0.01,5.0,1000,0.49977791693672025,0.51165457361250155,42.6969268321991,9001.0,2432.0,108.0,18151.1987522
42,2TRX,0.01,5.0,5000,0.54650048504289539,0.50519157713403406,140.33773803710938,44831.0,12075.0,108.0,18151.1987522
43,2TRX,0.01,5.0,10000,0.54748489877310691,0.51533344853778229,328.3058910369873,90061.0,24203.0,108.0,18151.1987522
44,2TRX,0.01,5.0,20000,0.57732325433019827,0.54348087572947057,903.4705951213837,179581.0,48444.0,108.0,18151.1987522
45,2TRX,0.01,7.0,1000,0.50605355446681943,0.49989793833752488,42.54565215110779,8951.0,2394.0,108.0,18151.1987522
46,2TRX,0.01,7.0,5000,0.56960976592360857,0.52439605851249904,143.76070284843445,44931.0,12116.0,108.0,18151.1987522
47,2TRX,0.01,7.0,10000,0.58575313971510989,0.51141440591929865,333.8980050086975,89771.0,24209.0,108.0,18151.1987522
48,2TRX,0.01,7.0,20000,0.57760644184162913,0.54621383946824131,913.1604759693146,179581.0,48444.0,108.0,18151.1987522
49,2TRX,0.01,10.0,1000,0.49939611948827345,0.5091511928339808,43.767455101013184,9001.0,2432.0,108.0,18151.1987522
50,2TRX,0.01,10.0,5000,0.51131022264775261,0.49932223416934418,148.11802077293396,44981.0,12105.0,108.0,18151.1987522
51,2TRX,0.01,10.0,10000,0.55568806558487915,0.51127485719705157,341.5547511577606,90141.0,24310.0,108.0,18151.1987522
52,2TRX,0.01,10.0,20000,0.62417730235239477,0.53429540190737568,932.5843238830566,179721.0,48429.0,108.0,18151.1987522
53,2TRX,0.01,15.0,1000,0.5035672355420554,0.50684141306199737,45.03869700431824,8961.0,2422.0,108.0,18151.1987522
54,2TRX,0.01,15.0,5000,0.53351768615575479,0.49149043017140387,153.39398789405823,44801.0,12054.0,108.0,18151.1987522
55,2TRX,0.01,15.0,10000,0.53415570087644848,0.5191327436546298,353.244145154953,89951.0,24261.0,108.0,18151.1987522
56,2TRX,0.01,15.0,20000,0.59079404598257212,0.54174355336378588,977.0321218967438,179261.0,48377.0,108.0,18151.1987522
