,pdb,beta,nsus,run,auc,auc_01,execution_time,count_seq_scpe,count_seq_cluster,seq_lenght,execution_time_optimization_total
43,2TRX,1.00,5.0,10000,0.77462909599972352,0.61201680002786985,610.2567210197449,150541.0,34137.0,108.0,155064.659118
44,2TRX,1.00,5.0,20000,0.81750587656227214,0.66063439914174682,1955.4603261947632,302381.0,68564.0,108.0,155064.659118
45,2TRX,1.00,7.0,1000,0.72632286916147004,0.55375436087530905,60.42707109451294,20211.0,4567.0,108.0,155064.659118
46,2TRX,1.00,7.0,5000,0.76141957853944353,0.59296773586855989,314.3721261024475,101031.0,22793.0,108.0,155064.659118
47,2TRX,1.00,7.0,10000,0.77052371990395219,0.61803182865323969,887.0246160030365,201741.0,45637.0,108.0,155064.659118
48,2TRX,1.00,7.0,20000,0.77584781368284506,0.63982547462387607,4077.6356568336487,403281.0,91198.0,108.0,155064.659118
49,2TRX,1.00,10.0,1000,0.73487580626265803,0.55570555835567359,68.35965085029602,23871.0,5465.0,108.0,155064.659118
50,2TRX,1.00,10.0,5000,0.75098799571510311,0.59021845734511924,390.10917687416077,117681.0,27227.0,108.0,155064.659118
51,2TRX,1.00,10.0,10000,0.7728802445526437,0.60567545892160624,1142.664440870285,236001.0,54501.0,108.0,155064.659118
52,2TRX,1.00,10.0,20000,0.73893482725983217,0.62775471023859741,3746.921007871628,471591.0,109071.0,108.0,155064.659118
53,2TRX,1.00,15.0,1000,0.71803542035224821,0.56156928675752615,74.32551217079163,25501.0,6029.0,108.0,155064.659118
54,2TRX,1.00,15.0,5000,0.72065153355308464,0.56430193784822813,442.43036103248596,126601.0,30095.0,108.0,155064.659118
55,2TRX,1.00,15.0,10000,0.74737735494436119,0.60296340210616595,1299.3872292041779,252281.0,59971.0,108.0,155064.659118
56,2TRX,1.00,15.0,20000,0.76320298560547761,0.61837425885722985,4376.8050100803375,507841.0,120705.0,108.0,155064.659118
57,2TRX,2.0,1.0,1000,0.51887790319875471,0.49810537626092655,21.95940399169922,11.0,11.0,108.0,155064.659118
